"MED_ID","MED_NAME","GENRE","STOCK","PRICE_PIECE"
"669","Dihydroergotamine","Sedatives","202","55.93"
"671","Dilacor XR","Expectorant","181","113.91"
"673","Dilantin Infatabs","Expectorant","28","21.72"
"675","Dilaudid-HP","Sedatives","74","66.94"
"679","Dinoprostone","Hormones","90","73.52"
"681","Diovan HCT","Antihypertensives","95","97.58"
"683","Diphenhydramine","Beta-Blockers","219","122.5"
"685","Diprivan","Sleeping Drugs","87","80.08"
"687","Dipyridamole","Antiarrhythmics","172","25.6"
"689","Disulfiram","Hypoglycemics","56","50.02"
"691","Ditropan XL","Sedatives","226","74.4"
"693","Diuril","Sleeping Drugs","204","20.71"
"695","DMSO","Hormones","185","105.08"
"697","Dofetilide","Hypoglycemics","156","69.49"
"699","Dolobid","Antacids","90","122.27"
"701","Dopamine","Vitamins","198","15.6"
"703","Dopram","Antiarrhythmics","125","36.28"
"705","Doribax","Anticonvulsants","203","112.05"
"707","Doryx","Antineoplastics","186","20.33"
"709","Dostinex","Antiemetics","51","23.04"
"711","Doxapram","Sleeping Drugs","94","48.99"
"713","Doxepin","Sedatives","27","92.12"
"715","Doxil","Tranquilizer","248","97.53"
"717","Drisdol","Muscle Relaxants","236","82.69"
"719","Dronedarone","Sedatives","52","112.45"
"721","Drotrecogin alfa","Antivirals","177","123.29"
"723","Dtic-Dome","Beta-Blockers","62","28.61"
"725","Duetact","Corticosteroids","82","33.71"
"727","Duloxetine Hcl","Analgesics","140","132.98"
"729","Duraclon","Antipsychotics","237","100.64"
"731","Duramorph","Diuretics","1","66.08"
"733","Durezol","Antidepressants","54","39.5"
"735","Dutasteride","Antiarrhythmics","247","52.95"
"737","Dynacirc","Bronchodilators","224","118.05"
"739","Dynapen","Antipyretics","129","121.92"
"741","Dyrenium","Sedatives","227","69.14"
"743","Econazole Nitrate","Antivirals","92","54.58"
"745","Edecrin","Antidiarrheals","140","98.7"
"747","Edex","Antipyretics","40","128.35"
"749","Edrophonium","Diuretics","242","76.73"
"751","Efavirenz","Expectorant","32","132.04"
"753","Effexor XR","Analgesics","37","7.43"
"755","Eflornithine","Decongestants","82","36.62"
"757","Elaprase","Barbiturates","186","64.87"
"759","Eldepryl","Vitamins","215","13.16"
"761","Elidel","Cold Cures","30","32.34"
"763","Elimite","Barbiturates","124","91.52"
"765","Ellence","Antipyretics","32","55.83"
"767","Elocon","Cytotoxics","209","115.08"
"769","Elspar","Antipyretics","147","111.53"
"771","Emadine","Diuretics","79","78.79"
"773","Emcyt","Antibiotics","61","36.53"
"775","Emend","Antihypertensives","142","12.64"
"777","Emla","Bronchodilators","156","45.01"
"779","Emsam","Tranquilizer","187","3.37"
"781","Emtriva","Diuretics","233","91.11"
"783","Enalapril","Decongestants","205","9.77"
"785","Endocet","Cold Cures","136","94.24"
"789","Enfuvirtide","Antipyretics","230","6.9"
"791","Enjuvia","Sleeping Drugs","83","71.25"
"793","Enoxacin","Corticosteroids","220","62.98"
"795","Entacapone","Anticonvulsants","140","53.34"
"797","Entereg","Analgesics","169","118.27"
"799","Entocort EC","Antibacterials","30","77.24"
"803","Epinastine HCl","Tranquilizer","181","32.82"
"805","Epipen","Antiemetics","27","61.08"
"807","Eplerenone","Bronchodilators","46","88.54"
"809","Epogen","Antibacterials","130","24.42"
"811","Epzicom","Antiarrhythmics","191","32.94"
"813","Equetro","Antibiotics","157","115.38"
"815","Erbitux","Diuretics","240","91.01"
"819","Ertaczo","Antibacterials","237","33.07"
"823","Erygel","Beta-Blockers","57","79.59"
"825","Erythromycin","Tranquilizer","122","86.59"
"827","Eskalith","Antiemetics","17","60.83"
"829","Estazolam","Antidiarrheals","10","123.15"
"833","Estradiol Acetate","Antibacterials","141","53.8"
"835","Estramustine","Expectorant","143","3.28"
"837","Estring","Beta-Blockers","33","92.28"
"839","Estropipate","Laxatives","143","99.58"
"841","Eszopiclone","Muscle Relaxants","188","106.08"
"843","Ethacrynic Acid","Antidepressants","36","68.93"
"847","Ethinyl Estradiol","Decongestants","110","10.37"
"849","Ethiodol","Antibacterials","220","10.41"
"851","Ethosuximide","Anticonvulsants","207","68.14"
"853","Ethrane","Antihypertensives","175","129.3"
"855","Ethyol","Cytotoxics","110","61.41"
"857","Etodolac","Antibiotics","180","77.05"
"859","Etopophos","Tranquilizer","161","127.5"
"861","Etrafon","Cold Cures","62","5.15"
"865","Everolimus","Sedatives","13","116.25"
"867","Evoclin","Hypoglycemics","213","16.79"
"869","Exalgo","Diuretics","11","111.37"
"871","Exelon","Cytotoxics","160","18.72"
"873","Exenatide","Bronchodilators","65","29.61"
"877","Extavia","Antivirals","199","67.19"
"879","Extraneal","Cold Cures","176","123.84"
"881","Ezetimibe","Diuretics","66","87.98"
"884","Factor IX Complex","Antihistamines","120","44.78"
"886","Famciclovir","Diuretics","199","12.47"
"888","Famvir","Antidepressants","28","47.29"
"890","Fansidar","Hypoglycemics","205","87.59"
"894","Fazaclo","Hormones","29","98"
"896","Feiba-VH","Barbiturates","26","55.87"
"898","Felbatol","Sleeping Drugs","233","30.13"
"900","Felodipine","Antihistamines","13","96.05"
"902","Femcon Fe","Tranquilizer","226","134.47"
"904","Femring","Analgesics","159","97.5"
"906","Fenofibric Acid","Barbiturates","177","5.34"
"910","Fentanyl Citrate","Cold Cures","140","48.15"
"914","Ferrlecit","Vitamins","138","65.08"
"916","Ferumoxides","Antibiotics","202","74.51"
"918","Fexofenadine Hcl","Laxatives","156","80.31"
"920","Finacea","Vitamins","60","72.08"
"922","Fioricet","Antianxiety Drug","102","120.16"
"924","Flavoxate HCl","Diuretics","219","112.33"
"926","Flector","Beta-Blockers","133","3.4"
"928","Flo-Pred","Antibacterials","41","108.55"
"930","Flomax","Antidiarrheals","200","53.33"
"934","Flovent Diskus","Antacids","216","92.37"
"936","Floxin","Decongestants","187","5.43"
"938","Floxuridine","Anticonvulsants","206","48.41"
"940","Flucytosine","Hormones","209","91.5"
"942","Fludarabine","Bronchodilators","250","108.42"
"944","Flumadine","Diuretics","207","61.37"
"948","Fluocinonide","Anticonvulsants","232","50.11"
"950","Fluorescite","Antihistamines","171","68.19"
"952","Fluorometholone","Antihypertensives","143","39.33"
"954","Fluorouracil","Tranquilizer","29","104.3"
"956","Fluoxetine Hcl","Antipsychotics","231","134.3"
"958","Fluphenazine","Sleeping Drugs","136","99.78"
"960","Flurazepam","Antipyretics","202","89.55"
"962","Fluress","Tranquilizer","220","55.03"
"964","Fluvastatin Sodium","Expectorant","151","20.2"
"966","FML","Decongestants","19","134.9"
"968","Focalin","Antibiotics","107","29.74"
"970","Folic Acid","Expectorant","32","9.6"
"972","Follitropin Alfa","Vitamins","202","106.59"
"974","Folotyn","Decongestants","217","72.16"
"976","Folvite","Antivirals","151","42.21"
"978","Fomivirsen","Decongestants","165","34.2"
"980","Foradil Certihaler","Laxatives","168","6.88"
"982","Fortamet","Corticosteroids","220","66.77"
"984","Forteo","Cytotoxics","167","84.15"
"986","Fosamax","Antacids","157","53.08"
"988","Foscarnet Sodium","Antibiotics","82","1.71"
"990","Fosfomycin","Tranquilizer","217","88.45"
"992","Fosrenol","Decongestants","16","20.81"
"994","Frova","Hypoglycemics","191","2.92"
"998","Furazolidone","Antivirals","215","80.97"
"1000","Furoxone","Cytotoxics","161","92.09"
"1002","Gabapentin","Corticosteroids","202","91.88"
"1004","Gadodiamide","Anticonvulsants","28","102.66"
"1006","Gadoversetamide","Antihistamines","233","20.46"
"1008","Galsulfase","Sedatives","246","13.72"
"1010","Gamunex","Cytotoxics","245","12.87"
"1012","Ganirelix","Antibacterials","147","122.74"
"1014","Gantrisin","Antidiarrheals","52","68.15"
"1015","Gardasil","Antidepressants","206","65.11"
"1017","Gelnique","Hypoglycemics","101","133.53"
"1019","Gemfibrozil","Antianxiety Drug","26","62.03"
"1021","Gengraf","Analgesics","27","93.58"
"1023","Genotropin","Antidepressants","107","101.87"
"1025","Gentamicin","Muscle Relaxants","102","126.92"
"1027","Geodon","Antihistamines","176","64.74"
"1029","Gleevec","Diuretics","167","102.94"
"1031","Glimepiride","Antiemetics","134","88.6"
"1033","GlucaGen","Laxatives","171","43.42"
"1035","Glucophage XR","Antivirals","100","57.08"
"1037","Glucotrol XL","Beta-Blockers","192","19.29"
"1039","Glumetza","Antidiarrheals","114","36.29"
"1041","Glycopyrrolate","Sleeping Drugs","238","114.12"
"1043","Glyset","Sleeping Drugs","186","118.78"
"1045","Gonadorelin","Antipsychotics","104","41.27"
"1047","Gonal-f RFF","Cytotoxics","113","57.2"
"1049","Granisetron","Antibiotics","41","48.81"
"1051","Grifulvin V","Sleeping Drugs","216","44.71"
"1053","Griseofulvin","Sleeping Drugs","222","127.91"
"1055","Guanfacine","Antibiotics","204","62.98"
"1057","Gyne-Lotrimin","Hormones","147","34.07"
"1059","Halcion","Vitamins","136","13.91"
"1061","Haldol Decanoate","Corticosteroids","54","130.11"
"1063","Haloperidol","Antifungals","232","60.94"
"1065","Halothane","Vitamins","9","101.71"
"1067","Healon","Hormones","119","118.92"
"1071","Hemin","Analgesics","215","66.58"
"1073","HepaGam B","Analgesics","47","7.7"
"1075","Heparin Lock Flush","Antidepressants","71","67.8"
"1077","HepatAmine","Antidepressants","63","93.53"
"1079","Hepsera","Hypoglycemics","134","7.89"
"1081","Hexachlorophene","Hormones","227","33.38"
"1083","HibTITER","Tranquilizer","244","30.49"
"1085","Hismanal","Cold Cures","8","8.83"
"1087","HMS","Antiarrhythmics","17","25.88"
"1089","Human Secretin","Barbiturates","93","70.31"
"1091","Humira","Antipyretics","136","34.46"
"1093","Humulin N","Antipyretics","51","37.5"
"1095","Hyalgan","Antipsychotics","78","95.19"
"1097","Hycodan","Antihypertensives","182","57.48"
"1099","Hydrea","Anticonvulsants","158","106.43"
"1101","Hydroflumethiazide","Antianxiety Drug","130","55.78"
"1103","Hydroxychloroquine","Antacids","179","115.73"
"1105","Hydroxyzine","Antibacterials","101","102.74"
"1107","Hylenex","Cytotoxics","69","120.93"
"1109","Hytrin","Corticosteroids","24","14.05"
"1111","Ibandronate Sodium","Cold Cures","244","5.45"
"1113","Ibuprofen Lysine","Diuretics","245","12.12"
"1115","Ic-Green","Cold Cures","205","13.12"
"1117","Idamycin","Hormones","199","75.38"
"1119","Idarubicin","Vitamins","142","45.62"
"1121","Ifosfamide","Antineoplastics","33","1.41"
"1123","Iloperidone","Tranquilizer","106","63.01"
"1125","Ilotycin","Antivirals","188","124.73"
"1127","Imiglucerase","Antacids","111","100"
"1129","Imipramine Pamoate","Sleeping Drugs","145","45.71"
"1131","Imitrex","Antidiarrheals","225","60.29"
"1133","Imodium","Antianxiety Drug","72","33.21"
"1135","Implanon","Antidepressants","150","133.31"
"1137","Inapsine","Antidepressants","247","131.23"
"1139","Indapamide","Bronchodilators","230","61.22"
"1141","Inderal LA","Sleeping Drugs","18","95.17"
"1143","Indigo Carmine","Antacids","148","75.49"
"1145","Indocin","Hypoglycemics","94","86.26"
"1147","Infanrix","Antineoplastics","200","26.8"
"1149","Infed","Antifungals","131","60.85"
"1151","Infliximab","Antiarrhythmics","81","49.19"
"1153","InnoPran XL","Anticonvulsants","72","18"
"1155","Inspra","Cytotoxics","156","77.46"
"1157","Insulin Aspart","Muscle Relaxants","191","17.15"
"1159","Insulin Glulisine","Antacids","223","104.97"
"1161","Insulin Lispro","Antibacterials","125","15.89"
"1165","Interferon alfa-2a","Anticonvulsants","132","43.47"
"1167","Interferon beta-1a","Tranquilizer","248","1.57"
"1169","Intralipid 10%","Beta-Blockers","206","133.53"
"1171","Intron A","Anticonvulsants","78","8.91"
"1173","Invanz","Antivirals","225","65.07"
"1175","Invega Sustenna","Antihypertensives","4","112.52"
"1177","Invirase","Diuretics","75","130.73"
"1179","Ionamin","Antacids","147","42.1"
"1181","Ioxilan","Antidiarrheals","106","110.89"
"1183","Ipol","Antiarrhythmics","80","7.8"
"1185","Iressa","Barbiturates","177","129.5"
"1187","Isentress","Sleeping Drugs","1","83.01"
"1189","Ismo","Decongestants","244","106.57"
"1191","Isoflurane","Antihypertensives","122","77.77"
"1193","Isoproterenol","Barbiturates","219","89.47"
"1195","Isopto Carpine","Hypoglycemics","80","40.72"
"1197","Isordil","Antipsychotics","166","23.94"
"1201","Istalol","Bronchodilators","116","66.29"
"1685","Ocuflox","Beta-Blockers","70","94.36"
"1687","Ofloxacin","Tranquilizer","226","131.35"
"1689","Ogen","Antianxiety Drug","26","35.44"
"1691","Oleptro","Barbiturates","108","8.49"
"1693","Olux","Analgesics","11","131.91"
"1695","Omalizumab","Antiarrhythmics","10","115.31"
"1697","Omnaris","Cytotoxics","173","29.67"
"1701","Omnitrope","Cytotoxics","215","119.43"
"1703","Onglyza","Corticosteroids","217","63.14"
"1705","Ontak","Antibacterials","120","29.88"
"1707","Opana ER","Tranquilizer","58","109.1"
"1709","Opticrom","Muscle Relaxants","81","26.7"
"1713","Optison","Sedatives","239","60.25"
"1715","Oracea","Expectorant","184","117.54"
"1717","Orapred ODT","Anticonvulsants","163","45.88"
"1719","Oravig","Antibiotics","115","133.63"
"1721","Orfadin","Expectorant","219","70.6"
"1723","Orimune","Sedatives","122","54.56"
"1725","Orlistat","Anticonvulsants","178","77.28"
"1727","Orphengesic","Cytotoxics","230","41.19"
"1731","Orudis","Sleeping Drugs","230","101.07"
"1733","OsmoPrep","Antihistamines","12","8.85"
"1735","Ovide","Corticosteroids","20","5.87"
"1737","Oxacillin","Antipyretics","63","125.48"
"1739","Oxandrin","Antihistamines","30","8.99"
"1743","Oxcarbazepine","Antiarrhythmics","171","18.01"
"1745","Oxilan","Antidiarrheals","188","40.48"
"1747","Oxsoralen-Ultra","Diuretics","225","66.2"
"1751","Oxymorphone","Antipyretics","250","83.47"
"1753","Oxytocin","Beta-Blockers","233","114.16"
"1755","Paclitaxel","Antifungals","113","111.05"
"1757","Paliperidone","Beta-Blockers","142","73.56"
"1759","Palonosetron","Diuretics","172","51.27"
"1761","Pancrecarb","Bronchodilators","180","112.14"
"1763","Pandel","Bronchodilators","43","12.56"
"1767","Papain","Antifungals","124","28.51"
"1769","Parafon Forte","Cytotoxics","132","71.82"
"1771","Paregoric","Beta-Blockers","228","119.68"
"1773","Parlodel","Antiarrhythmics","247","61.43"
"1775","Paser","Antiarrhythmics","69","37.48"
"1777","Patanase","Antihistamines","111","38.93"
"1779","Paxil","Vitamins","164","3.98"
"1","Abacavir Sulfate","Antidepressants","92","55.73"
"3","Abatacept","Expectorant","91","24.39"
"5","Abelcet","Antibacterials","8","21.53"
"7","Abraxane","Antidiarrheals","146","6.18"
"9","Accolate","Analgesics","13","64.85"
"13","Accutane","Hormones","82","2.32"
"15","Aceon","Antipyretics","246","48.6"
"17","Acetaminophen","Cold Cures","90","117.64"
"19","Aci-Jel","Antifungals","138","55.29"
"21","Acitretin","Antianxiety Drug","59","48.26"
"23","Actemra","Muscle Relaxants","181","28.49"
"27","Actiq","Antiarrhythmics","200","56.53"
"29","Activase","Tranquilizer","132","102.04"
"31","Actonel","Antipyretics","217","62.6"
"33","Acular","Sedatives","103","52.14"
"35","Acuvail","Cold Cures","171","47.65"
"37","Adacel","Sleeping Drugs","223","62.87"
"883","Factive","Antiemetics","169","63.54"
"885","Factrel","Expectorant","227","8.59"
"887","Famotidine","Antiemetics","106","95.23"
"889","Fanapt","Laxatives","239","1.46"
"891","Fareston","Decongestants","102","79.84"
"893","Fastin","Barbiturates","100","86"
"895","Febuxostat","Vitamins","175","37.95"
"897","Felbamate","Anticonvulsants","49","87.44"
"901","Femara","Antihypertensives","144","54.12"
"903","Femhrt","Analgesics","121","30.31"
"905","Fenofibrate","Antihypertensives","112","59.81"
"462","Cimzia","Beta-Blockers","38","92.17"
"466","Cinryze","Antacids","194","79.94"
"464","Cinobac","Corticosteroids","184","95.6"
"468","Cipro XR","Bronchodilators","34","124.15"
"470","Ciprofloxacin","Muscle Relaxants","57","29.07"
"472","Cisapride","Antipyretics","163","10.73"
"474","Cladribine","Hormones","89","55.09"
"476","Clarinex","Cold Cures","121","9.99"
"478","Clarinex-D 24 Hour","Antihypertensives","172","113.78"
"480","Claritin","Antineoplastics","73","134.34"
"482","Cleocin T","Sleeping Drugs","33","94.46"
"484","Climara","Barbiturates","131","113.14"
"486","Clindamycin","Corticosteroids","176","110.65"
"488","Clinoril","Antidepressants","160","35.45"
"490","Cloderm","Antihistamines","227","77.84"
"492","Clofazimine","Vitamins","54","134.84"
"494","Clolar","Antipyretics","201","102.1"
"496","Clomiphene","Decongestants","59","24.55"
"498","Clonazepam","Antacids","238","74.11"
"500","Clorpres","Tranquilizer","88","90.73"
"502","Clozapine","Antacids","20","79.1"
"506","Codeine","Antihypertensives","194","61.57"
"508","Codeine Sulfate","Muscle Relaxants","191","116"
"510","Cognex","Anticonvulsants","183","123.62"
"512","Colchicine","Cold Cures","195","40.61"
"514","Colesevelam Hcl","Antifungals","48","7.92"
"516","Colestipol","Cold Cures","240","77.19"
"518","Coly-Mycin M","Antipsychotics","203","50.53"
"520","Combigan","Diuretics","108","64.68"
"522","Combivent","Bronchodilators","244","36.37"
"524","Combunox","Barbiturates","176","93.18"
"526","Compro","Antidiarrheals","2","127.22"
"528","Comvax","Antihistamines","115","78"
"530","Copaxone","Antihypertensives","145","44.2"
"532","Cordarone","Anticonvulsants","7","76.01"
"534","Coreg CR","Diuretics","45","37.91"
"536","Corlopam","Antidiarrheals","56","110.31"
"538","Cortef","Antipsychotics","224","110.71"
"540","Cortisone Acetate","Cold Cures","93","41.13"
"542","Cortrosyn","Expectorant","46","51.23"
"544","Corzide","Decongestants","94","6.86"
"546","Cosopt","Antipyretics","50","40.76"
"548","Coumadin","Hormones","153","38.95"
"550","Cozaar","Antacids","15","42.72"
"552","Crestor","Decongestants","216","37.82"
"554","Crofab","Antipsychotics","156","134.99"
"556","Cromolyn Sodium","Antiemetics","51","46.69"
"558","Cuprimine","Antipsychotics","234","109.23"
"560","Cuvposa","Barbiturates","37","110.74"
"562","Cyanokit","Antifungals","122","42.93"
"564","Cyclophosphamide","Sleeping Drugs","164","131.9"
"566","Cyclosporine","Anticonvulsants","219","108.66"
"568","Cylert","Sleeping Drugs","55","120.06"
"570","Cyproheptadine","Diuretics","95","87.52"
"572","Cystagon","Hypoglycemics","221","80.54"
"574","Cytadren","Antidiarrheals","139","119.23"
"576","Cytogam","Antiemetics","232","102.21"
"578","Cytotec","Decongestants","24","66.09"
"580","Cytoxan","Antihistamines","10","78.28"
"582","Daclizumab","Hypoglycemics","21","74.09"
"584","Dactinomycin","Anticonvulsants","83","90.15"
"586","Dalteparin","Sedatives","47","101.85"
"588","Dapsone","Expectorant","175","105.76"
"590","Daraprim","Cytotoxics","187","77.09"
"592","Darunavir","Antiarrhythmics","177","3.41"
"594","Darvon","Barbiturates","138","53.91"
"596","Dasatinib","Antipsychotics","221","13.32"
"600","Daytrana","Cytotoxics","201","53.31"
"602","DDAVP Nasal Spray","Corticosteroids","147","40.73"
"604","Decadron","Sedatives","247","18.08"
"606","Deferasirox","Antihistamines","153","30.09"
"608","Definity","Antidiarrheals","37","113.56"
"610","Delatestryl","Antipyretics","241","128.36"
"612","Deltasone","Antiarrhythmics","35","120.5"
"614","Demeclocycline HCl","Vitamins","63","116.17"
"616","Demser","Antineoplastics","99","61.31"
"618","Denavir","Muscle Relaxants","242","27.44"
"620","Depakene","Antidiarrheals","167","97.6"
"622","Depakote ER","Cold Cures","232","16.11"
"624","Depo-SubQ Provera","Vitamins","170","49.54"
"626","DepoCyt","Cytotoxics","154","73.84"
"628","Derma-Smoothe/FS","Antipsychotics","172","23.95"
"630","Desflurane","Antiarrhythmics","163","49.49"
"632","Desogen","Antipyretics","89","122.57"
"634","DesOwen","Antidiarrheals","147","38.47"
"636","Desoxyn","Expectorant","141","111.21"
"638","Detrol","Antihistamines","96","44.96"
"640","Dexamethasone","Antivirals","169","108.97"
"642","Dexfenfluramine","Decongestants","18","19.05"
"644","Dexlansoprazole","Antianxiety Drug","66","110.69"
"646","Dextroamphetamine","Cold Cures","140","65.21"
"648","DiaBeta","Sedatives","21","77.32"
"650","Diamox Sequels","Cold Cures","18","11.64"
"652","Diazepam","Antivirals","233","127.01"
"654","Diclofenac Sodium","Muscle Relaxants","22","8.95"
"656","Dicyclomine","Antidiarrheals","188","93.36"
"658","Didrex","Antifungals","124","50.95"
"660","Dienestrol","Muscle Relaxants","232","51.91"
"662","Difenoxin","Antifungals","167","89.82"
"664","Diflucan","Antibacterials","53","40.47"
"666","Digibind","Antiemetics","49","63.46"
"668","Digoxin Immune Fab","Vitamins","137","4.08"
"670","Dihydrotachysterol","Anticonvulsants","74","89.06"
"672","Dilantin","Antibacterials","113","36.05"
"676","Diltiazem","Antiarrhythmics","32","89.59"
"678","Dimetane","Antipyretics","154","46.13"
"680","Diovan","Antibiotics","87","113.64"
"682","Dipentum","Vitamins","139","42.9"
"684","Dipivefrin","Sleeping Drugs","121","134.02"
"686","Diprolene AF","Hypoglycemics","152","16.5"
"688","Disalcid","Antipsychotics","178","4.69"
"690","Ditropan","Decongestants","182","100.91"
"692","Diucardin","Antipsychotics","184","122.27"
"694","Divalproex Sodium","Antiemetics","172","77.48"
"696","Dobutamine","Anticonvulsants","194","5.08"
"698","Dolasetron","Laxatives","66","81.72"
"700","Dolophine","Antidiarrheals","33","120.73"
"702","Dopar","Sleeping Drugs","96","111.07"
"704","Doral","Antihypertensives","156","71.64"
"706","Dornase alfa","Antidepressants","37","122.69"
"708","Dorzolamide","Antineoplastics","106","74.4"
"710","Dovonex","Expectorant","222","129.32"
"712","Doxazosin Mesylate","Analgesics","165","51.05"
"714","Doxercalciferol","Antipyretics","230","9.85"
"716","Doxycycline","Antihypertensives","175","37.73"
"718","Dronabinol","Hypoglycemics","225","71.67"
"720","Droperidol","Antifungals","115","44.07"
"722","Droxia","Beta-Blockers","17","37.17"
"724","DTP","Diuretics","230","70.74"
"726","Dulera","Antineoplastics","152","100.47"
"728","Duoneb","Beta-Blockers","41","89.58"
"730","Duragesic","Antidepressants","54","100.36"
"734","Duricef","Antacids","33","103.85"
"736","Dyazide","Cold Cures","103","84.27"
"738","Dynacirc CR","Laxatives","203","55.76"
"740","Dyphylline","Beta-Blockers","67","112.22"
"742","Dysport","Decongestants","176","94.31"
"744","Eculizumab","Diuretics","36","100.97"
"746","Edetate Calcium","Antipyretics","12","80.06"
"750","Efalizumab","Hypoglycemics","97","109.99"
"752","Effexor","Antianxiety Drug","200","60.14"
"754","Effient","Antipyretics","249","112.35"
"758","Elavil","Antiarrhythmics","214","97.72"
"760","Elestat","Muscle Relaxants","84","7.44"
"764","Elitek","Antianxiety Drug","118","81.09"
"766","Elmiron","Antihistamines","94","92.05"
"768","Eloxatin","Barbiturates","161","112.5"
"770","Eltrombopag","Barbiturates","87","118.7"
"772","Embeda","Laxatives","138","29.75"
"774","Emedastine","Vitamins","218","38.4"
"778","Empirin","Cytotoxics","61","125"
"780","Emtricitabine","Expectorant","49","83.89"
"782","Enablex","Antihypertensives","228","90.21"
"784","Enbrel","Antiarrhythmics","216","71.99"
"786","Endometrin","Antiarrhythmics","11","40.49"
"788","Enflurane","Antiemetics","56","25.48"
"792","Enlon","Decongestants","192","78.8"
"794","Enoxaparin","Tranquilizer","177","19.09"
"796","Entecavir","Sedatives","185","25.09"
"798","Entex","Barbiturates","32","11.36"
"800","Eovist","Analgesics","135","67.98"
"802","Epiduo","Decongestants","1","8.01"
"804","Epinephrine","Antihistamines","98","102.63"
"806","Epivir","Tranquilizer","230","99.45"
"810","Eptifibatide","Bronchodilators","31","59.13"
"812","Equagesic","Antibiotics","194","77.89"
"814","Eraxis","Antiarrhythmics","106","81.34"
"816","Ergocalciferol","Cold Cures","37","43.2"
"818","Erlotinib","Hypoglycemics","168","83.82"
"820","Ertapenem","Antineoplastics","186","56.47"
"822","Eryc","Antibiotics","249","45.63"
"826","Esclim","Antipsychotics","43","88.17"
"828","Esmolol","Antacids","69","55.04"
"830","Estrace","Antacids","26","85.16"
"832","Estradiol","Antihistamines","104","80.53"
"834","Estradiol valerate","Antacids","118","75.17"
"836","Estratest","Diuretics","120","7.86"
"838","EstroGel","Vitamins","70","121.03"
"842","Etanercept","Analgesics","105","21.18"
